1. HTML Stands for?;a. Hyper Text Markup Language;b. Hyper Tech Markup Language;c. Hyper Text Makeup Language;d. Height Text Markup Language;a. Hyper Text Markup Language
2. in HTML we have ..... type of heading tags;a. 3;b. 4;c. 5;d. 6;d. 6
3. HTML document start and end with wich tag pairs?;a. <HEAD>;b.<BODY>;c. <HTML>;d. <WEB>;c. <HTML>
4. <TITLE> tag must be within;a. Title;b. Form;c. Head;d. Body;c. Head
5. To add an image to an HTML file using the tag....?;a. IMG;b. IMAGE;c. IMAGES;d. PICTURE;a. IMG
6. All HTML tags are enclosed in what?;a. < >;b. { };c. ( );d. <!--and-->;a. < >
7.  To style HTML is using?;a. CSS;b. PHP;c. MySQL;d. JAVA;a. CSS
8. CSS Stands for? ;a. Common style sheet;b. Cascading style sheet;c. Control style system;d. Central style sheet;b. Cascading style sheet
9. Style sheet apears as a value of the .... attribute;a. jscript;b. sheet;c. nscript;d. style;d. style
10. The selector which is used to specify a style for a single unique element is?;a. class;b. Bit;c. ID;d. Div;c. ID

